nome;cpf;localidade;data_nascimento;raca_cor
Lucas Gabriel Cirino da Costa;850.953.767-72;MONDUBIM/FORTALEZA/CE;10/12/1969;PARDA
Eduarda Ferreira Martins;577.193.335-10;BELA VISTA/SAO JOAO DO JAGUARIBE/CE;04/12/1969;PARDA
Maria Luísa Cunha Camargo;588.839.531-61;ALTO DO BUMERANGUE/PIQUET CARNEIRO/CE;03/08/1953;BRANCA
Bernardo Araújo da Costa;492.111.027-04;PARACURU/PARACURU/CE;28/12/1993;PARDA
Júlia Camargo Andrade;783.313.019-90;ALTO BRILHANTE/TAUA/CE;19/04/1981;AMARELA
Agatha Pinto da Rosa;988.690.505-06;HENRIQUE JORGE/FORTALEZA/CE;26/05/2002;AMARELA
Ian Pacheco Brito;135.022.648-86;CENTRO/FORTALEZA/CE;02/01/1973;PARDA
Luiza Almeida da Mata;760.999.724-97;PERES FAÇANHA/FORTALEZA/CE;14/08/2006;BRANCA
Maria Isis Ribeiro da Rosa;827.032.964-20;TAUAZINHO/ARNEIROZ/CE;20/09/1993;PARDA
Laís Mendonça Correia;670.557.154-84;JAIME LOPES/QUIXERAMOBIM/CE;23/07/2004;PARDA
Nicolas Viana Martins;393.100.964-68;NOVO MARANGUAPE  II/MARANGUAPE/CE;06/10/1961;PARDA
Cauã da Mota Souza;164.590.211-07;BELA VISTA/FORTALEZA/CE;14/04/1994;AMARELA
Rael Fonseca Nogueira;171.242.838-02;JOAO PAULO II/IGUATU/CE;12/10/1996;BRANCA
Ana Beatriz Barbosa Silva;354.813.046-00;ZONA RURAL/LIMOEIRO DO NORTE/CE;01/10/1981;BRANCA
José Pedro Costela Pereira;773.489.207-36;CAJAZEIRAS/IGUATU/CE;08/04/1982;BRANCA
Mathias Cavalcanti Leão;576.993.395-12;CATUMBELA/RUSSAS/CE;07/10/2003;PARDA
Ana Carolina Jesus Rezende;102.533.371-80;CENTRO/ACARAU/CE;12/12/1989;AMARELA
Manuella Pereira Cardoso;585.248.537-80;PRAIA/CAMOCIM/CE;20/06/2012;BRANCA
Gabriel Montenegro Nunes;038.851.643-49;CENTRO/ACARAU/CE;17/01/1952;BRANCA
Alana Sá Costela;335.336.264-24;CID GERARDO CRISTINO/SOBRAL/CE;08/07/2000;PARDA
Davi Miguel Fogaça Novais;947.419.257-15;TIBIQUARI/FORTALEZA/CE;14/07/1989;BRANCA
Isaac Marques Monteiro;032.227.760-73;PARQUE PRESIDENTE VARGAS/FORTALEZA/CE;27/01/1992;PARDA
Isadora Cavalcante Fogaça;226.928.259-01;ALTO DA BALANCA/FORTALEZA/CE;11/04/1978;PARDA
Mariah Silva Melo;176.445.680-41;CENTRO/MARACANAU/CE;11/05/2017;PARDA
Breno Casa Grande Silveira;016.766.329-06;VIOLETA/ITAPIPOCA/CE;09/07/1991;PARDA
Enzo Gabriel Sá da Mota;950.053.091-00;JEREISSATI/REDENCAO/CE;12/06/1993;PARDA
Luiz Fernando Aparecida Pires;688.358.376-21;SAO FRANCISCO/BREJO SANTO/CE;27/01/1985;PARDA
Isaac Vargas Cassiano;150.587.738-66;LIMOEIRINHO/LIMOEIRO DO NORTE/CE;31/07/1966;PARDA
Daniel Alves Campos;473.886.744-18;SALGADO/SAO LUÍS DO CURU/CE;17/09/1961;PARDA
Aurora Lopes Abreu;592.658.578-88;ZONA RURAL/BREJO SANTO/CE;02/12/1996;PARDA
Valentina da Conceição Marques;667.748.477-45;02 DE AGOSTO/MORADA NOVA/CE;07/06/1960;BRANCA
Bárbara Souza Santos;854.688.002-52;CENTRO/FORTALEZA/CE;11/02/1968;PARDA
Yuri da Cruz Marques;585.980.612-77;MONDUBIM/FORTALEZA/CE;03/02/1967;PARDA
Zoe Silva Macedo;983.766.893-37;SEMINARIO/CRATO/CE;25/02/1999;AMARELA
Maria Júlia Nascimento Pacheco;561.276.390-61;PIMENTA/CRATO/CE;08/09/1992;PARDA
Matteo Alves Sá;965.066.874-30;VILA ALTA/CRATO/CE;12/08/1990;PARDA
João Gabriel Moura Farias;878.275.661-28;BARRO BRANCO/CRATO/CE;07/09/1985;PARDA
Rebeca Barros Vieira;034.398.196-87;PRACINHA/PACATUBA/CE;23/12/1958;AMARELA
Cecília Aparecida Ribeiro;771.249.093-42;SALGADO/FORTALEZA/CE;30/10/1998;PARDA
Sabrina Gonçalves Leão;767.664.584-09;PITOMBEIRAS/CRUZ/CE;14/08/1986;PARDA
Bella Alves Cassiano;798.661.390-71;MURITI/CRATO/CE;15/03/1979;BRANCA
Nina Marques da Rosa;584.480.272-06;SITIO/CRATO/CE;25/02/1997;BRANCA
Alana Oliveira Alves;908.043.545-49;SAO MIGUEL/CRATO/CE;20/04/1961;BRANCA
Laís Guerra Mendonça;417.240.697-06;POR DO SOL/OROS/CE;06/11/2007;PARDA
Marcos Vinicius Mendes Nogueira;129.531.316-97;JUNCO/SOBRAL/CE;20/03/1954;BRANCA
Maria Alice Aparecida Santos;279.928.359-76;JOSE EUCLIDES F GOMES/SOBRAL/CE;06/12/2002;AMARELA
Helena Pastor Monteiro;416.865.463-10;JOSE EUCLIDES F GOMES/SOBRAL/CE;31/12/1996;PARDA
Antony da Paz Duarte;388.775.326-49;ALDEOTA/BREJO SANTO/CE;18/10/1973;BRANCA
Bento Mendes Carvalho;953.443.276-32;CENTRO/BREJO SANTO/CE;29/03/1940;PARDA
Gael Henrique Fernandes Jesus;883.331.398-02;SAO FRANCISCO/MORADA NOVA/CE;12/07/2002;BRANCA
Lucca Cardoso Moura;565.149.018-83;JENIPAPEIRO/CRUZ/CE;26/03/1993;PARDA
Bruna Cardoso Cavalcante;970.946.023-73;SALGADO/SAO LUÍS DO CURU/CE;09/07/1967;BRANCA
Henry Gabriel Pereira Cirino;620.742.795-64;NOVA HIDROLANDIA/HIDROLANDIA/CE;26/08/1989;AMARELA
Calebe Lopes Pimenta;820.092.795-75;ALTO DA ESPERANCA/HIDROLANDIA/CE;02/04/1977;PARDA
Dante Oliveira Rios;970.560.693-67;NOVO IGUAPE/AQUIRAZ/CE;20/10/1986;PARDA
Bruna da Rocha Pimenta;045.501.853-42;RENASCER/HIDROLANDIA/CE;08/12/1987;BRANCA
Dom Souza Sá;037.975.921-43;ALTO DA BRASILIA/SOBRAL/CE;03/03/1994;AMARELA
Melina Araújo Borges;775.255.915-57;VILA PERI/FORTALEZA/CE;27/04/1964;PARDA
Breno Pereira Ferreira;471.571.770-06;SAO JOSE/CRATO/CE;13/11/1982;PARDA
Laura Sá Nascimento;340.249.450-42;ZONA RURAL/BREJO SANTO/CE;05/02/1945;PARDA
Luiz Otávio Lopes da Mata;512.538.686-88;CENTRO/BREJO SANTO/CE;01/08/1984;PARDA
Maria Luísa Rezende Viana;021.499.977-48;ZONA RURAL/BREJO SANTO/CE;17/10/2001;AMARELA
Natália Pinto Cavalcanti;624.494.540-27;CENTRO/BARBALHA/CE;27/11/1976;AMARELA
Caio Freitas Moreira;299.609.068-82;CONJUNTO CEARA/FORTALEZA/CE;15/10/2007;PARDA
Enrico Vieira Cardoso;591.746.297-50;CENTRO/ITAPIPOCA/CE;06/09/1983;BRANCA
Maria Alice Duarte Ferreira;851.294.304-02;SUCATINGA/BEBERIBE/CE;24/05/1974;PARDA
Fernanda Araújo Cirino;116.059.667-08;SITIO SAO LUCAS/BEBERIBE/CE;09/03/1981;BRANCA
Ana Luiza Aragão Lima;113.561.018-60;BEZERRA DE SOUSA/TAUA/CE;06/04/1987;PRETA
Luara Monteiro Guerra;208.531.203-24;PLANALTO AYRTON SENNA/FORTALEZA/CE;17/10/1962;PARDA
Maria Júlia Lopes Jesus;409.733.567-44;ZONA RURAL/BAIXIO/CE;05/03/1978;AMARELA
Marcela Costa da Paz;872.097.114-05;AREIAS/IGUATU/CE;19/05/1982;PARDA
Sara Silveira Nascimento;224.323.840-83;MONDUBIM/FORTALEZA/CE;23/12/1993;PARDA
Sara Mendonça Cunha;892.228.015-37;PRADO/IGUATU/CE;06/11/1996;BRANCA
Alexia da Rosa Sá;756.414.668-03;NOVO MARANGUAPE/MARANGUAPE/CE;18/07/1984;PARDA
Catarina da Cruz Ribeiro;257.566.775-61;CIDADE JARDIM/FORTALEZA/CE;23/03/1978;BRANCA
Cauã da Mata Cunha;998.903.034-01;CENTRO/LIMOEIRO DO NORTE/CE;15/08/1999;BRANCA
Caleb Andrade da Mata;719.969.756-92;JARDIM IARACEMA/FORTALEZA/CE;29/03/1990;PARDA
Stephany Cassiano Pereira;128.477.134-92;ALVARO WEYNE/FORTALEZA/CE;06/01/1979;PARDA
Francisco Pimenta Brito;566.243.902-37;ZONA RURAL/RUSSAS/CE;21/05/1988;BRANCA
